rd_formula_id,product_details_id,rd_formula_detail,user_name_th,user_name_en,rd_formula_version,rd_formula_version_text,rd_formula_ref,rd_formula_main,rdf_percent_plus_price,month_number,year_number,rd_formula_date,sts_note,user_name_action,mf_sts,document_statuses_id,users_id,record_status,created_at,updated_at,product_name,customer_name,sale_data,company_data,companies_id,rd_project_amount,rd_units_id,brief_server,project_brieft_heads_id,project_no,ccode,fg_code,quantity,rdf_good_quantity,retain,loss,batch_count,codination_id
RDF2208001,1,"สูตรเหมือนครั้งที่ 2 แต่ตัด Jellyfish กับ Opuntia ออกเพื่อให้ไม่มีสี และเติมน้ำหอม, aloe, peptide ",แอดมิน,Admin,0,2,,RDF2208001,20,8.0,2022.0,08/20/2022,,,1,3,1,0,2022-11-02 10:31:59,2024-08-15 11:42:43,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211001,4,1,,Admin,0,1,,RDF2211001,20,11.0,2022.0,11/16/2022,,Admin,0,3,17,1,2022-11-16 09:37:05,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211002,5,No Silicone,,Admin,0,4,,RDF2211002,20,11.0,2022.0,11/16/2022,,Admin,0,2,17,1,2022-11-16 10:14:28,2023-06-21 14:50:02,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211003,6,sunscreen,,Admin,0,1,,RDF2211003,20,11.0,2022.0,11/18/2022,,Admin,1,3,17,1,2022-11-18 14:24:03,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211004,7,-,,Admin,0,2,,RDF2211004,20,11.0,2022.0,11/18/2022,,Admin,1,3,17,1,2022-11-18 14:57:09,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211005,8,รสนมแบบจิ้มปาท่องโก๋ได้เลย เจลลื่นๆ หวานสุด,,Admin,0,5,,RDF2211005,20,11.0,2022.0,09/20/2022,,Admin,0,1,1,0,2022-11-18 15:35:13,2022-11-24 08:36:08,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211006,8,รสนมแบบจิ้มปาท่องโก๋ได้เลย เจลลื่นๆ หวานสุด,,Admin,0,5,,RDF2211006,20,11.0,2022.0,11/24/2022,,Admin,0,2,17,1,2022-11-24 08:29:45,2023-06-21 14:50:30,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211007,11,-,,Admin,0,9,,RDF2211007,20,11.0,2022.0,11/25/2022,,Admin,1,3,21,1,2022-11-25 14:02:07,2023-05-29 09:06:45,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211008,13,-,,Admin,0,8,,RDF2211008,20,11.0,2022.0,11/29/2022,,Admin,0,1,21,2,2022-11-29 09:53:23,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211009,14,-,,Admin,0,1,,RDF2211009,20,11.0,2022.0,11/29/2022,,Admin,1,3,21,1,2022-11-29 10:08:49,2023-05-29 09:29:02,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211010,13,-,,Admin,0,8,,RDF2211010,20,11.0,2022.0,11/30/2022,,Admin,1,3,21,1,2022-11-30 11:29:07,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211011,9,-,,Admin,0,2,,RDF2211011,20,11.0,2022.0,11/30/2022,,Admin,1,3,21,1,2022-11-30 11:34:42,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211012,17,สูตรใหม่สำหรับใช้ผลิต Lot 7,,Admin,0,1,,RDF2211012,20,11.0,2022.0,11/30/2022,,Charinthip Thawisirisap,1,3,19,1,2022-11-30 13:10:40,2024-05-14 11:49:32,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211013,19,-,,Admin,0,1,,RDF2211013,20,11.0,2022.0,11/30/2022,,Admin,1,3,17,1,2022-11-30 13:36:59,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211014,21,-,,Admin,0,4,,RDF2211014,20,11.0,2022.0,11/30/2022,,Bantita Petra,0,3,17,1,2022-11-30 15:47:33,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211015,20,-,,Admin,0,5,,RDF2211015,20,11.0,2022.0,11/30/2022,,Thatsanawaree Kotwong,1,3,17,1,2022-11-30 16:32:43,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2211016,22,-,,Admin,0,7,,RDF2211016,20,11.0,2022.0,11/30/2022,,Admin,0,2,17,2,2022-11-30 16:55:29,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212001,27,-,,Admin,0,4,,RDF2212001,20,12.0,2022.0,12/01/2022,,Admin,1,3,17,1,2022-12-01 13:31:33,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212002,19,-,,Admin,0,1,,RDF2212002,20,12.0,2022.0,12/01/2022,,Admin,0,1,17,2,2022-12-01 13:33:49,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
