id,rm_code,trade_name,inci_name,supplier,set_decimal,rm_cost,company_name,companies_id,companies_share_status,lead_time,users_id,record_status,created_at,updated_at
1,RC00A001,ALCOHOL (Extra Neutral Alcohol 96 % Denatured Formula 3),Ethyl alcohol,Thai Alcohol,2,75.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-12-11 16:11:32
2,RC00A002,ACE PEP,"Aqua, Butylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Acetyl Hexapeptide-8",Bronson,2,8000.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 14:50:31
3,RC00A003,ACULYN™ Siltouch Rheology Modifier,"Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dimethicone, Trideceth-6 , PEG/PPG-18/18 Dimethicone",SUMMIT,2,2000.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,0,2022-11-02 11:50:46,2024-10-29 17:23:14
4,RC00A004,AFFIPORE™,"Butylene Glycol, Barosma Betulina Leaf Extract, Citric Acid",Maxworth,2,4400.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:12:48
5,RC00A005,ALIS-Z-031 (6%) EZ POWER,"ZINC OXIDE, ISOSTEARIC ACID, TRIETHOXYCAPRYLYLSILANE",Bronson,2,3300.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:13:56
6,RC00A006,ADEKANOL GT-730,"PEG-240/HDI Copolymer Bis-Decyltetradeceth-20 Ether, Butylene Glycol, Aqua, POTASSIUM LAURATE, Tocopherol",Chemico,2,1500.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:50:51
7,RC00A007,ALOE VERA GEL SPRAY DRIED-LC ORGANIC,Aloe Barbadensis Leaf Extract,Namsiang,2,3600.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:50:27
8,RC00A008,ALPHA ARBUTIN,Alpha-arbutin,JR Serve,2,5200.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:52:36
9,RC00A009,ACH,"Aqua, Aluminum chlorohydrate",Water doctor,2,45.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2025-06-06 15:48:30
10,RC00A010,ALOXICOLL PF40,Aluminum Chlorohydrate,Triple Nine,2,250.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:54:35
11,RC00A011,AnnonaSense CLR™,Annona Cherimola Fruit Extract,Bronson,2,12000.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:55:18
12,RC00A012,AQUAGEL 35S,"Polyacrylamide, C13-14 Isoparaffin, Laureth-7",Bronson,2,750.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:56:16
13,RC00A013,Antisebum® GMP,"Dipropylene Glycol, Aqua, Polysorbate 20 , Garcinia Mangostana Peel Extract, Magnolia Officinalis Bark Extract , Punica Granatum Pericarp Extract",บ้านเคมี,2,6000.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:56:53
14,RC00A014,AQUAMAX 45,"Sodium Polyacrylate, C13-14 Isoparaffin, Laureth-7",Chemsources,2,700.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-29 17:57:30
15,RC00A015,Arguard PC HTL8-MS,Stearyl Ethylhexyldimonium Methosulfate,Triple Nine,2,0.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,0,2022-11-02 11:50:46,2024-10-30 11:17:19
16,RC00A016,Alphaflow® 20,Hydrogenated Polydecene,Bestra,2,2200.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-30 11:19:12
17,RC00A017,AA2G™,Ascorbyl Glucoside,DKSH,2,14500.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-30 11:20:41
18,RC00A018,AcneBusters,"Aqua, Butylene Glycol, Glycolic Acid, PEG-60 Hydrogenated Castor Oil, Ethylhexylglycerin, Glyceryl Caprylate, Lactobacillus/Pear Juice Ferment Filtrate, o-Cymen-5-ol, Phellodendron Amurense Bark Extract, Salix Alba (Willow) Bark Extract, Rehmannia Chinensis Root Extract, Melia Azadirachta Leaf Extract, Scutellaria Baicalensis Root Extract, Houttuynia Cordata Extract, Glycine Soja (Soybean) Seed Extract.",U.COS (Unify),2,6500.0,บริษัท ออกานิกส์ คอสเม่ จำกัด,1,0,,4,1,2022-11-02 11:50:46,2024-10-30 11:45:26
