"id","formula_masters_id","topic_masters_id","registration_document_id","product_code","bmr_lot","bmr_dom","bmr_pamount","bmr_ind","record_status","month_number","batch_size","theoretical_yield","theoretical_yield_percent","standard_yield","standard_yield_percent","actual_yield","actual_yield_percent","lost_the_mixing_process","lost_the_mixing_process_percent","text_note1","year_number","users_id","document_statuses_id","created_at","updated_at"
"1","FM2208001","2","FM-PD-09","","JCM30L01B02","08/20/2022","35.9000","08/20/2022","1","8","","","","","","","","","","","2022","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"2","MF2211004","2","FM-PD-09","SNK30","SNK30","11/18/2022","45.0000","11/18/2022","1","11","","","","","","","","","","","2022","1","2","2022-11-18 08:19:20","2022-11-18 09:54:30"
"3","MF2211005","2","FM-PD-09","SOC10","SOC10","11/30/2022","150.0000","11/30/2022","1","11","","","","","","","","","","","2022","1","2","2022-11-30 03:21:47","2022-11-30 03:22:14"
"4","MF2211009","2","FM-PD-09","TCW180","TCW180","11/30/2022","454.0000","11/30/2022","1","11","","","","","","","","","","","2022","1","2","2022-11-30 08:34:23","2022-11-30 08:34:48"
"5","MF2211009","2","FM-PD-09","TCW180","TCW180","12/02/2022","454.0000","12/02/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-01 01:50:45","2022-12-01 01:50:48"
"6","MF2211009","2","FM-PD-09","TCW180","TCW180L07B01","12/02/2022","454.0000","12/02/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-01 02:08:17","2022-12-01 02:08:24"
"7","MF2211009","2","FM-PD-09","TCW180","TCW180L07B01","12/02/2022","454.0000","12/02/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-01 02:44:08","2022-12-01 02:44:13"
"8","MF2211009","2","FM-PD-09","TCW180","TCW180L07B01","12/02/2022","454.0000","12/02/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-01 02:57:41","2022-12-01 02:57:46"
"9","MF2212002","2","FM-PD-09","WTO250","WTO250L04B01","12/06/2022","112.0000","12/06/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-02 06:33:59","2022-12-02 06:34:05"
"10","MF2212001","2","FM-PD-09","LGG50","LGG50L01B01","12/06/2022","75.5000","12/06/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-02 06:50:05","2022-12-02 06:50:41"
"11","MF2212002","2","FM-PD-09","WTO250","WTO250L04B02","12/06/2022","112.0000","12/06/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-02 06:53:21","2022-12-02 06:53:28"
"12","MF2212001","2","FM-PD-09","LGG50","LGG50L01B02","12/06/2022","75.5000","12/06/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-02 06:55:46","2022-12-02 06:55:51"
"13","MF2212004","2","FM-PD-09","RCL250","RCL250L03B010","12/07/2022","86.0000","12/07/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-02 09:32:36","2022-12-02 09:33:04"
"14","MF2212004","2","FM-PD-09","RCL250","RCL250L03B01","12/07/2022","86.0000","12/07/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-02 09:35:43","2022-12-02 09:36:09"
"15","MF2212004","2","FM-PD-09","RCL250","RCL250L03B02","12/07/2022","86.0000","12/07/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-02 09:37:34","2022-12-02 09:39:35"
"16","MF2212004","2","FM-PD-09","RCL250","RCL250L03B03","12/07/2022","86.0000","12/07/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-02 09:44:52","2022-12-02 09:44:55"
"17","MF2212007","2","FM-PD-09","NZF45","NZF45","12/08/2022","90.0000","12/08/2022","1","12","","","","","","","","","","","2022","1","1","2022-12-07 04:10:25","2022-12-07 04:10:46"
"18","MF2212007","2","FM-PD-09","NZF45","NZF45L01B01","12/07/2022","90.0000","12/07/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-07 04:14:36","2022-12-07 04:14:58"
"19","MF2212007","2","FM-PD-09","NZF45","NZF45L01B01","12/08/2022","90.4500","12/08/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-07 04:17:37","2022-12-07 04:17:50"
"20","MF2212007","2","FM-PD-09","NZF45","NZF45L01B02","12/08/2022","45.2300","12/08/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-07 04:18:35","2022-12-07 04:18:43"
"21","MF2212008","2","FM-PD-09","HGS30L01B05","HGS30L01B05","12/09/2022","95.9100","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-07 06:58:15","2022-12-07 07:13:53"
"22","MF2212008","2","FM-PD-09","HGS30L01B05","HGS30L01B05","12/09/2022","78.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-07 07:40:25","2022-12-07 07:40:28"
"23","MF2212008","2","FM-PD-09","HGS30L01B05","HGS30L01B06","12/09/2022","78.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-07 07:41:51","2022-12-07 07:42:32"
"24","MF2212006","2","FM-PD-09","HHC30","HHC30","12/09/2022","78.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-07 07:46:51","2022-12-07 07:46:55"
"25","MF2212006","2","FM-PD-09","HHC30","HHC30L01B05","12/09/2022","78.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-07 07:49:58","2022-12-07 07:49:59"
"26","MF2212006","2","FM-PD-09","HHC30","HHC30L01B06","12/09/2022","78.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-07 07:56:09","2022-12-07 07:56:09"
"27","MF2212006","2","FM-PD-09","HHC30","HHC30L01B06","12/09/2022","78.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-08 01:47:30","2022-12-08 01:47:31"
"28","MF2212006","2","FM-PD-09","HHC30","HHC30L01B05","12/09/2022","78.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-08 01:48:21","2022-12-08 01:48:23"
