"id","formula_version_lists_id","product_details_id","path_file","file_name","old_file_name","file_detail","link_file","type_file","users_id","created_at","updated_at"
"1","","201","20221222_154143__119932207_indifferentcatgettyimages.png","คืนครูไปยัง?","","คณิตศาสตร์","https://www.youtube.com/watch?v=BaoFlu2tWxQ","1","1","2022-12-22 08:41:43","2022-12-22 08:41:43"
"2","","269","","","","","https://drive.google.com/file/d/1Ods2gxuUyGUbJ8l8iO41cVZ_ZvAMg1MP/view?usp=drivesdk","1","16","2023-01-18 04:58:08","2023-01-18 04:58:08"
"4","","277","20230123_104335_53808.jpg","","","","https://drive.google.com/file/d/19oyZDtnb54RSr9VgwGo7TIc6UJi8vqEB/view?usp=drivesdk","1","16","2023-01-23 03:43:36","2023-01-23 03:43:36"
"6","","301","20230204_094621_4.jpg","","","","https://drive.google.com/file/d/1Qw8YXiN_mKwoeWIAjGvVyt4vfjQKd54d/view?usp=drivesdk","1","16","2023-02-04 02:46:21","2023-02-04 02:46:21"
"9","","317","20230209_142533_s__12197908.jpg","","","","https://drive.google.com/file/d/11bQxMoq46Dl3-U_lbPOpjeQJ5xfkuMR9/view?usp=drivesdk","1","16","2023-02-09 07:25:33","2023-02-09 07:25:33"
"10","","178","","Benchmark","","• ทำจากน้ำมันธรรมชาติสกัดเย็น\r\n• โดนน้ำจะเปลี่ยนเป็นน้ำนม\r\n• กักเก็บความชุ่มชื้น ผิวลื่น เนียนนุ่ม\r\n• เห็นผลตั้งแต่ครั้งแรกที่ใช้\r\n• อ่อนโยนต่อทุกสภาพผิว","https://drive.google.com/file/d/1J__KmhyTDug82QL9QJwpmJBYtmmxnSda/view?usp=drivesdk","1","12","2023-02-10 07:55:42","2023-02-10 07:55:42"
"11","","355","20230221_150943_2.jpg","","","","https://drive.google.com/file/d/1JgjLEQdMROFTP1DDw83HV4UNX_1Ho8T8/view?usp=drivesdk","1","16","2023-02-21 08:09:43","2023-02-21 08:09:43"
"12","","321","20230221_151009_2.jpg","","","","https://drive.google.com/file/d/1JgjLEQdMROFTP1DDw83HV4UNX_1Ho8T8/view?usp=drivesdk","1","16","2023-02-21 08:10:09","2023-02-21 08:10:09"
"13","","356","20230221_151351_1.jpg","","","","https://drive.google.com/file/d/1oQ_308TljtVBozVozSNkKEz8aagSyvdY/view?usp=drivesdk","1","16","2023-02-21 08:13:51","2023-02-21 08:13:51"
"15","395","130","","-","","Product Version : 5","","2","1","2023-02-22 03:09:08","2023-02-22 03:09:08"
"16","403","291","","-","","Product Version : 11.1","","2","13","2023-02-27 02:53:28","2023-02-27 02:53:28"
"17","405","171","","-","","Product Version : 3","","2","13","2023-02-27 03:25:33","2023-02-27 03:25:33"
"18","315","290","20230228_102939_คุณโดนัท.jpg","คุณโดนัท.jpg","","Product Version : 5","","2","14","2023-02-28 03:29:39","2023-02-28 03:29:39"
"19","411","365","","-","","Product Version : 2","","2","13","2023-03-01 02:08:44","2023-03-01 02:08:44"
"20","410","371","20230302_165611_548532.jpg","548532.jpg","","Product Version : 1","","2","11","2023-03-02 09:56:12","2023-03-02 09:56:12"
