"id","formula_masters_id","equipment_machine_id","equipment_machine_unit","tag_name","em_qty","topic_number","users_id","record_status","created_at","updated_at"
"1","FM2208001","MC001","เครื่อง","","1","2","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"2","FM2208001","MC002","เครื่อง","","1","2","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"3","FM2208001","MC003","เครื่อง","","1","2","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"4","FM2208001","MC004","เครื่อง","","1","2","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"5","FM2208001","EM001","เครื่อง","","1","2","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"6","FM2208001","MC005","เครื่อง","","1","8","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"7","FM2208001","MC006","เครื่อง","","1","8","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"8","FM2208001","MC007","เครื่อง","","1","8","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"9","FM2208001","MC008","เครื่อง","","1","8","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"10","FM2208001","MC009","เครื่อง","","5","8","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"11","FM2208001","LT001","-","","1","2","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"12","FM2208001","LT002","-","","1","2","","1","2022-11-02 03:31:59","2022-11-02 03:31:59"
"13","MF2211002","EM001","-","","0","2","","1","2022-11-18 07:28:03","2022-11-18 07:28:03"
"14","MF2211002","LT002","-","","0","2","","1","2022-11-18 07:28:08","2022-11-18 07:28:08"
"15","MF2211002","MC001","-","","0","2","","1","2022-11-18 07:28:13","2022-11-18 07:28:13"
"16","MF2211002","MC002","-","","0","2","","1","2022-11-18 07:28:16","2022-11-18 07:28:16"
"17","MF2211002","MC004","-","","0","2","","1","2022-11-18 07:28:21","2022-11-18 07:28:21"
"18","MF2211002","MC003","-","","0","2","","1","2022-11-18 07:28:27","2022-11-18 07:28:27"
"19","MF2211002","LT001","-","","0","2","","1","2022-11-18 07:28:30","2022-11-18 07:28:30"
"20","MF2211002","MC009","-","","0","8","","1","2022-11-18 07:33:51","2022-11-18 07:33:51"
"21","MF2211002","MC008","-","","0","8","","1","2022-11-18 07:34:09","2022-11-18 07:34:09"
"22","MF2211002","MC007","-","","0","8","","1","2022-11-18 07:34:13","2022-11-18 07:34:13"
"23","MF2211002","MC006","-","","0","8","","1","2022-11-18 07:34:16","2022-11-18 07:34:16"
"24","MF2211002","MC005","-","","0","8","","1","2022-11-18 07:34:19","2022-11-18 07:34:19"
"25","MF2211004","EM001","-","","0","2","","1","2022-11-18 07:59:51","2022-11-18 07:59:51"
"26","MF2211004","LT001","-","","0","2","","1","2022-11-18 07:59:53","2022-11-18 07:59:53"
"27","MF2211004","LT002","-","","0","2","","1","2022-11-18 07:59:55","2022-11-18 07:59:55"
"28","MF2211004","MC001","-","","0","2","","1","2022-11-18 07:59:57","2022-11-18 07:59:57"
"29","MF2211004","MC002","-","","0","2","","1","2022-11-18 07:59:59","2022-11-18 07:59:59"
"30","MF2211004","MC003","-","","0","2","","1","2022-11-18 08:00:01","2022-11-18 08:00:01"
