"id","doc_number","text_start","text_end","file_name","path_name","old_file_name","topic_code","topic_number","line_number","new_line","users_id","created_at","updated_at","formula_master_pms_line_id"
"48","MF2211006","กระปุกพร้อมสกรีน (สีใสขุ่น)","","-","-","-","FM","7","1","0","1","2022-11-29 02:13:29","2022-11-29 02:13:29","136"
"49","MF2211006","•	กระปุกแก้ว ทรงกลม สีใสขุ่น\r\n•	มีสกรีนชื่อแบรนด์ สีเทา\r\n             ดังรูปภาพประกอบ","","20221129_091354_กระปุก.png","20221129_091354_กระปุก.png","กระปุก.png","FM","7","2","0","1","2022-11-29 02:13:55","2022-11-29 02:13:55","137"
"50","MF2211006","เรียบเนียน","","-","-","-","FM","7","3","0","1","2022-11-29 02:14:07","2022-11-29 02:14:07","138"
"51","MF2211006","10.35 g.","","-","-","-","FM","7","4","0","1","2022-11-29 02:14:14","2022-11-29 02:14:14","139"
"52","MF2211006","•	กระปุกแก้ว \r\n- ความกว้าง 34.87 mm ± 0.69 mm\r\n- ความสูง 33.72 mm ± 0.67 mm\r\n- ความสูงถึงปากประปุก 30.45 mm ± 0.60 mm\r\n- ความสูงถึงคอประปุก 20.80 mm ± 0.41 mm\r\n- เส้นผ่าศูนย์กลางกระปุกแก้ว 34.90 mm ± 0.69 mm","","-","-","-","FM","7","5","0","1","2022-11-29 02:14:28","2022-11-29 02:14:28","140"
"53","MF2211006","หาค่าเฉลี่ย 10 กระปุก = 346.28 g.\r\nน้ำหนักเฉลี่ย 34.63 g. / กระปุก ± 1.73 g.","","-","-","-","FM","7","6","0","1","2022-11-29 02:14:39","2022-11-29 02:14:39","141"
"54","MF2211006","ไม่มีรอยรั่ว","","-","-","-","FM","7","7","0","1","2022-11-29 02:14:49","2022-11-29 02:14:49","142"
"55","MF2211006","มีสกรีนตัวอักษรเป็นสีเทา","","20221129_091503_ตัวพิมพ์.png","20221129_091503_ตัวพิมพ์.png","ตัวพิมพ์.png","FM","7","8","0","1","2022-11-29 02:15:03","2022-11-29 02:15:03","143"
"56","MF2211006","ฝาในทรงกลม สีขาว","","-","-","-","FM","7","1","0","1","2022-11-29 02:15:26","2022-11-29 02:15:26","144"
"57","MF2211006","•	ฝาในทรงวงกลม \r\n•	สีขาว\r\n•	มีที่จับสำหรับดึงฝาในขึ้นออกจากตัวกระปุก\r\n         ดังรูปภาพประก","","20221129_091549_ฝาใน.png","20221129_091549_ฝาใน.png","ฝาใน.png","FM","7","2","0","1","2022-11-29 02:15:49","2022-11-29 02:15:49","145"
"107","MF2211005","•กล่องฐานสีเหลี่ยมจัตุรัส\r\n•สีขาว และ สีชมพู มีความทึบแสง\r\n•ด้านหน้ากล่อง จะประกอบไปด้วย ชื่อแบรนด์ SEOUL ORGANIC CREAM , รูปภาพกระปุกครีม และเครื่องหมาย Dermatologist tested ผ่านการทดสอบการระคายเคืองจากแพทย์ผิวหนัง\r\n•ชื่อแบรนด์ ภาษาอังกฤษ และ ภาษาเกาหลี มีการปั๊มนูนทั้ง 2 ภาษา เป็นข้อความสีดำ\r\n•ด้านข้าง ซ้าย - ขาว และด้านหลัง มีรายละเอียดรอบกล่อง\r\n•ด้านบนฝาปิดของกล่อง สีชมพู จะประกอบไปด้วย ชื่อแบรนด์ ภาษาอังกฤษ และ ภาษาเกาหลี มีการปั๊มนูนทั้ง 2 ภาษา เป็นข้อความสีขาว","","20230628_172826_10.1.jpg","20230628_172826_10.1.jpg","10.1.jpg","FM","10","1","0","19","2022-11-29 08:08:30","2023-06-28 10:30:07","220"
"108","MF2211005","","กล่องด้านข้างซ้าย","20230628_172614_10.2.jpg","20230628_172614_10.2.jpg","10.2.jpg","FM","10","1","1","19","2022-11-29 08:09:09","2023-06-28 10:31:03","220"
