"id","formula_masters_id","pms_topic","pms_verification_method","pms_requirements","pms_topic_number","line_number","sub_number","created_at","updated_at"
"1","FM2208001","ชนิดวัสดุที่ใช้","สังเกตด้วยตา","","7","1","7.1 กระปุก","",""
"2","FM2208001","ลักษณะภายนอก\r\n  - รูปร่าง\r\n  - สี\r\n  - ความทึบแสง","สังเกตด้วยตา","","7","2","7.1 กระปุก","",""
"3","FM2208001","ลักษณะของพื้นผิว","สังเกตด้วยมือ","","7","3","7.1 กระปุก","",""
"4","FM2208001","ปริมาตรบรรจุเฉลี่ย","ตวงด้วยกระบอกตวง / เครื่องชั่ง","","7","4","7.1 กระปุก","",""
"5","FM2208001","ขนาดวัสดุบรรจุ","เวอร์เนีย","","7","5","7.1 กระปุก","",""
"6","FM2208001","น้ำหนักเฉลี่ย","ชั่งด้วยเครื่องชั่ง","","7","6","7.1 กระปุก","",""
"7","FM2208001","รอยรั่ว","แช่วัสดุบรรจุในน้ำ","","7","7","7.1 กระปุก","",""
"8","FM2208001","ลักษณะภายนอก (Appearances)","สังเกตด้วยตา (Visual)","","10","1","7.1 กระปุก","",""
"9","FM2208001","สติ๊กเกอร์ หน้า - หลัง","สังเกตด้วยตา (Visual)","","10","2","7.1 กระปุก","",""
"136","MF2211006","ชนิดวัสดุที่ใช้","สังเกตด้วยตา","","7","1","กระปุก","2022-11-29 02:11:28","2022-11-29 02:11:28"
"137","MF2211006","ลักษณะภายนอก\r\n  - รูปร่าง\r\n  - สี\r\n  - ความทึบแสง","สังเกตด้วยตา","","7","2","กระปุก","2022-11-29 02:11:28","2022-11-29 02:11:28"
"138","MF2211006","ลักษณะของพื้นผิว","สัมผัสด้วยมือ","","7","3","กระปุก","2022-11-29 02:11:28","2022-11-29 02:11:28"
"139","MF2211006","ปริมาตรบรรจุเฉลี่ย","ตวงด้วยกระบอกตวง / เครื่องชั่ง","","7","4","กระปุก","2022-11-29 02:11:28","2022-11-29 02:11:28"
"140","MF2211006","ขนาดวัสดุบรรจุ","เวอร์เนีย","","7","5","กระปุก","2022-11-29 02:11:28","2022-11-29 02:11:28"
"141","MF2211006","น้ำหนักเฉลี่ย","ชั่งด้วยเครื่องชั่ง","","7","6","กระปุก","2022-11-29 02:11:28","2022-11-29 02:11:28"
"142","MF2211006","รอยรั่ว","แช่วัสดุบรรจุในน้ำ","","7","7","กระปุก","2022-11-29 02:11:28","2022-11-29 02:11:28"
"143","MF2211006","ตัวพิมพ์","สังเกตด้วยตา","","7","8","กระปุก","2022-11-29 02:11:28","2022-11-29 02:11:28"
"144","MF2211006","ชนิดวัสดุที่ใช้","สังเกตด้วยตา","","7","1","ฝาใน","2022-11-29 02:11:28","2022-11-29 02:11:28"
"145","MF2211006","ลักษณะภายนอก\r\n  - รูปร่าง\r\n  - สี\r\n  - ความทึบแสง","สังเกตด้วยตา","","7","2","ฝาใน","2022-11-29 02:11:28","2022-11-29 02:11:28"
"146","MF2211006","ลักษณะของพื้นผิว","สัมผัสด้วยมือ","","7","3","ฝาใน","2022-11-29 02:11:28","2022-11-29 02:11:28"
"147","MF2211006","ปริมาตรบรรจุเฉลี่ย","ตวงด้วยกระบอกตวง / เครื่องชั่ง","","7","4","ฝาใน","2022-11-29 02:11:28","2022-11-29 02:11:28"
"148","MF2211006","ขนาดวัสดุบรรจุ","เวอร์เนีย","","7","5","ฝาใน","2022-11-29 02:11:28","2022-11-29 02:11:28"
"149","MF2211006","น้ำหนักเฉลี่ย","ชั่งด้วยเครื่องชั่ง","","7","6","ฝาใน","2022-11-29 02:11:28","2022-11-29 02:11:28"
"150","MF2211006","รอยรั่ว","แช่วัสดุบรรจุในน้ำ","","7","7","ฝาใน","2022-11-29 02:11:28","2022-11-29 02:11:28"
"151","MF2211006","ตัวพิมพ์","สังเกตด้วยตา","","7","8","ฝาใน","2022-11-29 02:11:28","2022-11-29 02:11:28"
"220","MF2211005","ลักษณะภายนอก (Appearances)","สังเกตด้วยตา (Visual)","","10","1","-","2022-11-29 08:05:29","2022-11-29 08:06:39"
"221","MF2211005","สติ๊กเกอร์ หน้า-หลัง","สังเกตด้วยตา (Visual)","","10","2","-","2022-11-29 08:05:29","2022-11-29 08:07:14"
"222","MF2211005","กล่องบรรจุ","สังเกตด้วยตา (Visual)","","10","3","-","2022-11-29 08:05:29","2022-11-29 08:12:01"
"223","MF2211005","ชริ้ง","สังเกตด้วยตา (Visual)","","10","4","-","2022-11-29 08:05:29","2022-11-29 08:12:59"
"224","MF2211005","น้ำหนัก","ชั่งน้ำหนัก (Weighing)","","10","5","-","2022-11-29 08:05:29","2022-11-29 08:13:54"
"236","MF2211007","ลักษณะภายนอก (Appearances)","สังเกตด้วยตา (Visual)","","10","1","-","2022-11-29 08:41:56","2022-11-29 08:41:56"
"237","MF2211007","สติ๊กเกอร์ หน้า - หลัง","สังเกตด้วยตา (Visual)","","10","2","-","2022-11-29 08:41:56","2022-11-29 08:41:56"
"238","MF2211007","กล่องบรรจุ","สังเกตด้วยตา (Visual)","","10","3","-","2022-11-29 08:41:56","2022-11-29 08:41:56"
"239","MF2211007","ชริ้ง","สังเกตด้วยตา (Visual)","","10","4","-","2022-11-29 08:41:56","2022-11-29 08:41:56"
"240","MF2211007","น้ำหนัก(Weight)","ชั่งน้ำหนัก(Weighing)","","10","5","-","2022-11-29 08:41:56","2022-11-29 08:41:56"
"241","MF2211007","ชนิดวัสดุที่ใช้","สังเกตด้วยตา","","7","1","dasda","2022-11-29 08:42:12","2022-11-29 08:42:12"
"242","MF2211007","ลักษณะภายนอก\r\n  - รูปร่าง\r\n  - สี\r\n  - ความทึบแสง","สังเกตด้วยตา","","7","2","dasda","2022-11-29 08:42:12","2022-11-29 08:42:12"
"243","MF2211007","ลักษณะของพื้นผิว","สัมผัสด้วยมือ","","7","3","dasda","2022-11-29 08:42:12","2022-11-29 08:42:12"
"244","MF2211007","ปริมาตรบรรจุเฉลี่ย","ตวงด้วยกระบอกตวง / เครื่องชั่ง","","7","4","dasda","2022-11-29 08:42:12","2022-11-29 08:42:12"
"245","MF2211007","ขนาดวัสดุบรรจุ","เวอร์เนีย","","7","5","dasda","2022-11-29 08:42:12","2022-11-29 08:42:12"
"246","MF2211007","น้ำหนักเฉลี่ย","ชั่งด้วยเครื่องชั่ง","","7","6","dasda","2022-11-29 08:42:12","2022-11-29 08:42:12"
"247","MF2211007","รอยรั่ว","แช่วัสดุบรรจุในน้ำ","","7","7","dasda","2022-11-29 08:42:12","2022-11-29 08:42:12"
"248","MF2211007","ตัวพิมพ์","สังเกตด้วยตา","","7","8","dasda","2022-11-29 08:42:12","2022-11-29 08:42:12"
"249","MF2211008","ลักษณะภายนอก (Appearances)","สังเกตด้วยตา (Visual)","","10","1","-","2022-11-30 04:10:40","2022-11-30 04:10:40"
"250","MF2211008","สติ๊กเกอร์ หน้า - หลัง","สังเกตด้วยตา (Visual)","","10","2","-","2022-11-30 04:10:40","2022-11-30 04:10:40"
"251","MF2211008","กล่องบรรจุ","สังเกตด้วยตา (Visual)","","10","3","-","2022-11-30 04:10:40","2022-11-30 04:10:40"
"252","MF2211008","ชริ้ง","สังเกตด้วยตา (Visual)","","10","4","-","2022-11-30 04:10:40","2022-11-30 04:10:40"
"253","MF2211008","น้ำหนัก(Weight)","ชั่งน้ำหนัก(Weighing)","","10","5","-","2022-11-30 04:10:40","2022-11-30 04:10:40"
"262","MF2211009","ลักษณะภายนอก (Appearances)","สังเกตด้วยตา (Visual)","","10","1","-","2022-11-30 07:42:27","2022-11-30 07:42:27"
"263","MF2211009","สติ๊กเกอร์ หน้า - หลัง","สังเกตด้วยตา (Visual)","","10","2","-","2022-11-30 07:42:27","2022-11-30 07:42:27"
"264","MF2211009","กล่องบรรจุ","สังเกตด้วยตา (Visual)","","10","3","-","2022-11-30 07:42:27","2022-11-30 07:42:27"
"265","MF2211009","ชริ้ง","สังเกตด้วยตา (Visual)","","10","4","-","2022-11-30 07:42:27","2022-11-30 07:42:27"
"266","MF2211009","น้ำหนัก(Weight)","ชั่งน้ำหนัก(Weighing)","","10","5","-","2022-11-30 07:42:27","2022-11-30 07:42:27"
"283","MF2212002","ลักษณะภายนอก (Appearances)","สังเกตด้วยตา (Visual)","","10","1","-","2022-12-02 04:04:49","2022-12-02 04:04:49"
"284","MF2212002","สติ๊กเกอร์ หน้า - หลัง","สังเกตด้วยตา (Visual)","","10","2","-","2022-12-02 04:04:49","2022-12-02 04:04:49"
"285","MF2212002","กล่องบรรจุ","สังเกตด้วยตา (Visual)","","10","3","-","2022-12-02 04:04:49","2022-12-02 04:04:49"
"286","MF2212002","ชริ้ง","สังเกตด้วยตา (Visual)","","10","4","-","2022-12-02 04:04:49","2022-12-02 04:04:49"
"287","MF2212002","น้ำหนัก(Weight)","ชั่งน้ำหนัก(Weighing)","","10","5","-","2022-12-02 04:04:49","2022-12-02 04:04:49"
