"id","formula_masters_id","ppart_action","step_number","sub_number","pdetails","ptime","ptemp","paction_output","psts_check","remark","created_at","updated_at"
"1","FM2208001","A","1","","เตรียม part A โดยตั้งอุณหภูมิหม้อต้มน้ำที่ 70 ºC นำน้ำร้อนมาชั่งลงในหม้อผสมใหญ่จะได้วัตถุดิบลำดับที่ 1 ▢ Water จากนั้นโปรย ▢ วัตถุดิบลำดับที่ 2 RC00Y001\r\n                ผ่านตะแกรง ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm เป็นเวลา 140-160 นาที แล้วทิ้งไว้ให้เย็นลงจนมีอุณหภูมิ≤50°C","","≤70","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"2","FM2208001","A+B","2","","เติม ▢ RC00R008 ลงในขั้นตอนที่ 1 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"3","FM2208001","A+B","3","","เติม ▢ RC00R001 ลงในขั้นตอนที่ 2 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"4","FM2208001","A+B","4","","เติม ▢ RC00H003 ลงในขั้นตอนที่ 3 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"5","FM2208001","A+B","5","","เติม ▢ RC00I005 ลงในขั้นตอนที่ 4 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"6","FM2208001","A+B","6","","เติม ▢ RC00O003 ลงในขั้นตอนที่ 5 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"7","FM2208001","A+B","7","","เติม ▢ RC00N003 ลงในขั้นตอนที่ 6 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"8","FM2208001","A+B","8","","เติม ▢ RC00W002 ลงในขั้นตอนที่ 7 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"9","FM2208001","A+B","9","","เติม ▢ RC00M015 ลงในขั้นตอนที่ 8 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"10","FM2208001","A+B","10","","เติม ▢ RC00A002 ลงในขั้นตอนที่ 9 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"11","FM2208001","A+B","11","","เติม ▢ RC00G006 ลงในขั้นตอนที่ 10 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"12","FM2208001","A+B","12","","เติม ▢ RCF00008 ลงในขั้นตอนที่ 11 ปั่นผสมที่ความเร็วรอบ 500-1,000 rpm","","≤50","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","",""
"13","MF2211002","A","1","","เตรียม Part A โดยเติมวัตถุดิบที่ 2 RC00S005 ลงในวัตถุดิบที่ 1 RC00S008 ปั่นผสมที่ความเร็วรอบ 400-600 rpm","10-15","","เนื้อเจล โปร่งแสง ไม่มีสี ไม่มีกลิ่น","","","2022-11-18 07:28:45","2022-11-18 07:29:29"
"14","MF2211002","A","2","","เติมวัตถุดิบที่ 3 RC00S004 ลงในขั้นตอนที่ 1 ปั่นผสมที่ความเร็วรอบ 400-600 rpm","10-15","","เนื้อเจล โปร่งแสง ไม่มีสี ไม่มีกลิ่น","","","2022-11-18 07:29:36","2022-11-18 07:31:02"
"15","MF2211002","A","3","","เติมวัตถุดิบที่ 4 RC00S046 ลงในขั้นตอนที่ 2 ปั่นผสมที่ความเร็วรอบ 400-600 rpm","10-15","","เนื้อเจล โปร่งแสง ไม่มีสี ไม่มีกลิ่น","","","2022-11-18 07:30:03","2022-11-18 07:31:19"
"16","MF2211002","A","4","","เติมวัตถุดิบที่ 5 RC00S019 ลงในขั้นตอนที่ 3 ปั่นผสมที่ความเร็วรอบ 400-600 rpm","10-15","","เนื้อครีม สีขาว ไม่มีกลิ่น","","","2022-11-18 07:30:19","2022-11-18 07:31:26"
"17","MF2211002","A","5","","เติมวัตถุดิบที่ 6 RC00S025 ลงในขั้นตอนที่ 4 ปั่นผสมที่ความเร็วรอบ 400-600 rpm","10-15","","เนื้อครีม สีขาว ไม่มีกลิ่น","","","2022-11-18 07:30:41","2022-11-18 07:31:32"
"18","MF2211002","A","6","","เติมวัตถุดิบที่ 7 RC00G004 ลงในขั้นตอนที่ 5 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","","เนื้อครีม สีขาว ไม่มีกลิ่น","","","2022-11-18 07:30:48","2022-11-18 07:31:48"
"19","MF2211004","A","1","","เตรียม Part A โดยเติมวัตถุดิบที่ 2 RC00S005 ลงในวัตถุดิบที่ 1 RC00S008 ปั่นผสมที่ความเร็วรอบ 400-600 rpm\n▢","10-15","-","เนื้อเจล โปร่งแสง ไม่มีสี ไม่มีกลิ่น","","","2022-11-18 08:00:32","2022-11-18 08:53:49"
"20","MF2211004","A","2","","เติมวัตถุดิบที่ 3 ▢ RC00S004 ลงในขั้นตอนที่ 1 ปั่นผสมที่ความเร็วรอบ 400-600 rpm","10-15","-","เนื้อเจล โปร่งแสง ไม่มีสี ไม่มีกลิ่น","","","2022-11-18 08:00:39","2022-11-18 09:18:01"
"21","MF2211004","A","3","","เติมวัตถุดิบที่ 4 RC00S046 ลงในขั้นตอนที่ 2 ปั่นผสมที่ความเร็วรอบ 400-600 rpm","10-15","-","เนื้อเจล โปร่งแสง ไม่มีสี ไม่มีกลิ่น","","","2022-11-18 08:00:45","2022-11-18 08:17:06"
"22","MF2211004","A","4","","เติมวัตถุดิบที่ 5 RC00S019 ลงในขั้นตอนที่ 3 ปั่นผสมที่ความเร็วรอบ 400-600 rpm","10-15","-","เนื้อครีม สีขาว ไม่มีกลิ่น","","","2022-11-18 08:00:51","2022-11-18 08:17:07"
"23","MF2211004","A","5","","เติมวัตถุดิบที่ 6 RC00S025 ลงในขั้นตอนที่ 4 ปั่นผสมที่ความเร็วรอบ 400-600 rpm","10-15","-","เนื้อครีม สีขาว ไม่มีกลิ่น","","","2022-11-18 08:00:57","2022-11-18 08:17:08"
"24","MF2211004","A","6","","เติมวัตถุดิบที่ 7 RC00G004 ลงในขั้นตอนที่ 5 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","-","เนื้อครีม สีขาว ไม่มีกลิ่น","","","2022-11-18 08:01:04","2022-11-18 08:17:19"
"25","MF2211005","A","1","","ค่อย ๆ เติม Part A ที่ละตัวได้แก่ RC00O003, RC00H004 และ RC00P006 ลงใน Water ปั่นผสมที่ความเร็วรอบ 350-450 rpm จนเข้ากันเป็นเนื้อเดียว","10-15","-","สารละลายใส","","","2022-11-25 07:48:25","2022-11-25 07:57:07"
"26","MF2211005","A+B","2","","เติม RC00A014 ลงในข้อ1. ปั่นผสมที่ความเร็วรอบ 1200-1300 rpm จนเข้ากันเป็นเนื้อเดียว","20-25","-","เนื้อครีมเจล สีขาว","","","2022-11-25 07:50:10","2022-11-25 07:57:00"
"27","MF2211005","A+B+C","3","","เติม part C ทีละตัว ได้แก่ RC00I004 และ RC00M016 ลงในข้อ2. ปั่น ผสมที่ความเร็วรอบ 1300-1400 rpm จนเข้ากันเป็นเนื้อเดียว","45-50","-","เนื้อครีมเจล สีขาวทึบ","","","2022-11-25 07:52:49","2022-11-25 07:57:10"
"28","MF2211005","A+B+C+D","4","","เติม RC00S003 ลงในข้อ3. ปั่นผสมที่ความเร็วรอบ 1300-1400 rpm จนเข้ากันเป็นเนื้อเดียว","5-10","-","เนื้อครีมเจล สีขาวทึบ","","","2022-11-25 07:55:26","2022-11-25 07:58:04"
"29","MF2211005","A+B+C +D+E","5","","เติม RCF00006 ลงในข้อ4. ปั่นผสมที่ความเร็วรอบ 1300-1400 rpm จนเข้ากันเป็นเนื้อเดียว","2-5","-","เนื้อครีมเจล สีขาวทึบ \npH 5-6 กลิ่น RCF00006\n(Charming CA 7156)","","","2022-11-25 07:58:27","2022-11-25 08:00:23"
"30","MF2211005","","6","","ถ่ายลงถังแบ่ง Bulk แล้วปั่นผสมที่ความเร็วรอบ1200-1300 rpm จนเข้ากันเป็นเนื้อเดียว","10-15","-","เนื้อครีมเจลสีขาวทึบ \npH 5-6 กลิ่น RCF00006 (Charming CA 7156)","","","2022-11-25 08:01:07","2022-11-25 08:01:46"
"31","MF2211008","A","1","","นำวัตถุดิบ RC00S002 เทลง RC00A001 ในหม้อผสมเล็กปั่นผสมที่ความเร็วรอบ 300-600 rpm โดยใช้เครื่องปั่นเล็ก จนกระจายเป็นเนื้อเดียวกัน","15-20","-","ของเหลว โปร่งแสง \nกลิ่นเฉพาะ","","","2022-11-30 03:59:03","2022-11-30 03:59:49"
"32","MF2211008","B","2","","ชั่ง DI Water ลงในหม้อผสมใหญ่ เติมวัตถุดิบ RC00O003 จากนั้นปั่นผสมที่ความเร็วรอบ 300-600 rpmโดยใช้เครื่องปั่นใหญ่ จนกระจายเป็นเนื้อเดียวกัน","10-15","-","ของเหลว โปร่งใส \nไม่มีกลิ่น","","","2022-11-30 04:00:09","2022-11-30 04:00:50"
"33","MF2211008","C","3","","ชั่ง DI Water ลงในบีกเกอร์ขนาดใหญ่ จากนั้นค่อยๆเติมRC00P007 ลงไป คนผสมด้วยไม้พาย จนได้สารละลายใส","5-10","-","ของเหลว โปร่งใส \nมีกลิ่นเฉพาะตัว","","","2022-11-30 04:00:57","2022-11-30 04:02:48"
"34","MF2211008","A+B","4","","เติม Part A ลงใน Part B ปั่นผสมที่ความเร็วรอบ 300-600 rpm จนเป็นเนื้อเดียวกัน","10-15","-","ของเหลว โปร่งใส \nมีกลิ่นเฉพาะตัว \nเกิดตะกอนสีขาว","","","2022-11-30 04:02:56","2022-11-30 04:03:55"
"35","MF2211008","A+B+C","5","","ค่อยๆเติม Part C ลงในข้อ4 ปั่นผสมที่ความเร็วรอบ 300-600 rpm จนเป็นเนื้อเดียวกัน","10-15","-","ของเหลว โปร่งใส ไม่มีตะกอน มีกลิ่นเฉพาะตัว\npH=4-5","","","2022-11-30 04:04:08","2022-11-30 04:04:37"
"36","MF2211008","A+B+C+D","6","","เติม Part D ทีละตัว ได้แก่ RC00K001 และ RC00K015 ลงในข้อ5 ปั่นผสมที่ความเร็วรอบ 300-600 rpm จนกระจายเป็นเนื้อเดียวกัน","10-15","-","ของเหลว สีขาวทึบ\nกลิ่นเฉพาะ pH=4-5\nเมื่อตั้งทิ้งไว้จะแยกชั้นและเปลี่ยนเป็นสีชมพูแดงเมื่อเวลาผ่านไป","","","2022-11-30 04:04:51","2022-11-30 04:05:46"
"37","MF2211009","A","1","","เติมวัตถุดิบลำดับที่ 2 ▢RC00E003 ลงในวัตถุดิบลำดับที่ 1 RC000000 ปั่นผสมที่ความเร็วรอบ 200-300 rpm","1-5","-","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","2022-11-30 07:03:53","2023-04-25 01:52:23"
"38","MF2211009","A","2","","เติมวัตถุดิบลำดับที่ 3 ▢RC00N003 ลงในขั้นตอนที่ 1 ปั่นผสมที่ความเร็วรอบ 200-300 rpm","1-5","-","ของเหลวใส ไม่มีสี ไม่มีกลิ่น","","","2022-11-30 07:04:32","2023-04-25 01:52:29"
"39","MF2211009","A","3","","เติมวัตถุดิบลำดับที่ 4 ▢RC00W002 ลงในขั้นตอนที่ 2 ปั่นผสมที่ความเร็วรอบ 200-300 rpm","1-5","-","ของเหลวใส ไม่มีสี กลิ่นเฉพาะตัว","","","2022-11-30 07:04:57","2023-04-25 01:52:31"
"40","MF2211009","A","4","","เติมวัตถุดิบลำดับที่ 5 ▢RC00B012 ลงในขั้นตอนที่ 3 ปั่นผสมที่ความเร็วรอบ 200-300 rpm","1-5","-","ของเหลวใส ไม่มีสี กลิ่นเฉพาะตัว","","","2022-11-30 07:04:59","2023-04-25 01:52:36"
