"id","formula_masters_id","sline_id","sob_master_id","step_number","parent","bmr_show","sub_line_number","step_type","test_method","text_detail","specification","created_at","updated_at"
"1","FM2208001","1","SOB001","1","","1","1","0","สังเกตด้วยตา (Visual)","ลักษณะภายนอก (Appearances)","เซรั่ม","",""
"2","FM2208001","2","SOB001","1","1","1","1","0","สังเกตด้วยตา (Visual)","- สถานะ(State)","ของเหลว","",""
"3","FM2208001","3","SOB001","2","1","1","1","0","สังเกตด้วยตา (Visual)","- ความใส(Clarity)","โปร่งใส","",""
"4","FM2208001","4","SOB001","3","1","1","1","0","สังเกตด้วยตา (Visual)","- สี(Color)","ไม่มีสี","",""
"5","FM2208001","5","SOB001","4","1","1","1","0","สังเกตด้วยตา (Visual)","- ความเป็นเนื้อเดียวกัน(Homogeneity)","เป็นเนื้อเดียวกัน","",""
"6","FM2208001","6","SOB001","2","","1","2","0","ดมกลิ่น  (Smell)","กลิ่น (Odor)","ไม่มีกลิ่น","",""
"7","FM2208001","7","SOB001","3","","1","3","0","สัมผัสด้วยมือ (Touch)","เนื้อสัมผัส (Texture)","สัมผัสลื่น","",""
"8","FM2208001","8","SOB001","4","","1","4","0","กระดาษยูนิเวอร์ซัลอินดิเคเตอร์ (Universal indicator)","ความเป็นกรด-เบส (pH)","5","",""
"9","FM2208001","9","SOB001","5","","1","5","0","Laboratory Viscometers","ความหนืด (Viscosity) *ถ้ามี","-","",""
"10","FM2208001","10","SOB001","6","","0","6","0","กระบอกตวง (cylinder)","ความถ่วงจำเพาะ (Specific gravity) *ถ้ามี","-","",""
"11","MF2211001","1","SOB001","1","","1","1","0","สังเกตด้วยตา (Visual)","ลักษณะภายนอก (Appearances)","เซรั่ม","",""
"12","MF2211001","2","SOB001","1","1","1","1","0","สังเกตด้วยตา (Visual)","- สถานะ(State)","ของเหลว","",""
"13","MF2211001","3","SOB001","2","1","1","1","0","สังเกตด้วยตา (Visual)","- ความใส(Clarity)","","",""
"14","MF2211001","4","SOB001","3","1","1","1","0","สังเกตด้วยตา (Visual)","- สี(Color)","ไม่มีสี","",""
"15","MF2211001","5","SOB001","4","1","1","1","0","สังเกตด้วยตา (Visual)","- ความเป็นเนื้อเดียวกัน(Homogeneity)","","",""
"16","MF2211001","6","SOB001","2","","1","2","0","ดมกลิ่น  (Smell)","กลิ่น (Odor)","ไม่มีกลิ่น","",""
"17","MF2211001","7","SOB001","3","","1","3","0","สัมผัสด้วยมือ (Touch)","เนื้อสัมผัส (Texture)","สัมผัสลื่น","",""
"18","MF2211001","8","SOB001","4","","1","4","0","กระดาษยูนิเวอร์ซัลอินดิเคเตอร์ (Universal indicator)","ความเป็นกรด-เบส (pH)","5","",""
"19","MF2211001","9","SOB001","5","","1","5","0","Laboratory Viscometers","ความหนืด (Viscosity) *ถ้ามี","-","",""
"20","MF2211001","10","SOB001","6","","0","6","0","กระบอกตวง (cylinder)","ความถ่วงจำเพาะ (Specific gravity) *ถ้ามี","-","",""
"21","MF2211001","12","SOB001","7","","0","7","0","(น้ำหนักที่ได้ / น้ำหนักตามทฤษฏี) x 100","%yield","-","",""
"26","MF2211002","1","SOB001","1","","1","1","0","สังเกตด้วยตา (Visual)","ลักษณะภายนอก (Appearances)","เนื้อครีม","","2022-11-18 07:32:06"
"27","MF2211002","2","SOB001","1","1","1","1","0","สังเกตด้วยตา (Visual)","- สถานะ(State)","ชองแข็ง","","2022-11-18 07:32:11"
"28","MF2211002","3","SOB001","2","1","1","1","0","สังเกตด้วยตา (Visual)","- ความใส(Clarity)","ทึบแสง","","2022-11-18 07:32:12"
"29","MF2211002","4","SOB001","3","1","1","1","0","สังเกตด้วยตา (Visual)","- สี(Color)","ไม่มีสี","",""
"30","MF2211002","5","SOB001","4","1","1","1","0","สังเกตด้วยตา (Visual)","- ความเป็นเนื้อเดียวกัน(Homogeneity)","เป็นเนื้อเดียวกัน","","2022-11-18 07:32:15"
"31","MF2211002","6","SOB001","2","","1","2","0","ดมกลิ่น  (Smell)","กลิ่น (Odor)","ไม่มีกลิ่น","",""
"32","MF2211002","7","SOB001","3","","1","3","0","สัมผัสด้วยมือ (Touch)","เนื้อสัมผัส (Texture)","สัมผัสลื่น","",""
"33","MF2211002","8","SOB001","4","","1","4","0","กระดาษยูนิเวอร์ซัลอินดิเคเตอร์ (Universal indicator)","ความเป็นกรด-เบส (pH)","5","",""
"34","MF2211002","9","SOB001","5","","1","5","0","Laboratory Viscometers","ความหนืด (Viscosity) *ถ้ามี","-","",""
"35","MF2211002","10","SOB001","6","","0","6","0","กระบอกตวง (cylinder)","ความถ่วงจำเพาะ (Specific gravity) *ถ้ามี","-","",""
"36","MF2211002","12","SOB001","7","","0","7","0","(น้ำหนักที่ได้ / น้ำหนักตามทฤษฏี) x 100","%yield","-","",""
"41","MF2211003","1","SOB001","1","","1","1","0","สังเกตด้วยตา (Visual)","ลักษณะภายนอก (Appearances)","เซรั่ม","",""
"42","MF2211003","2","SOB001","1","1","1","1","0","สังเกตด้วยตา (Visual)","- สถานะ(State)","ของเหลว","",""
"43","MF2211003","3","SOB001","2","1","1","1","0","สังเกตด้วยตา (Visual)","- ความใส(Clarity)","","",""
"44","MF2211003","4","SOB001","3","1","1","1","0","สังเกตด้วยตา (Visual)","- สี(Color)","ไม่มีสี","",""
"45","MF2211003","5","SOB001","4","1","1","1","0","สังเกตด้วยตา (Visual)","- ความเป็นเนื้อเดียวกัน(Homogeneity)","","",""
"46","MF2211003","6","SOB001","2","","1","2","0","ดมกลิ่น  (Smell)","กลิ่น (Odor)","ไม่มีกลิ่น","",""
"47","MF2211003","7","SOB001","3","","1","3","0","สัมผัสด้วยมือ (Touch)","เนื้อสัมผัส (Texture)","สัมผัสลื่น","",""
"48","MF2211003","8","SOB001","4","","1","4","0","กระดาษยูนิเวอร์ซัลอินดิเคเตอร์ (Universal indicator)","ความเป็นกรด-เบส (pH)","5","",""
"49","MF2211003","9","SOB001","5","","1","5","0","Laboratory Viscometers","ความหนืด (Viscosity) *ถ้ามี","-","",""
"50","MF2211003","10","SOB001","6","","0","6","0","กระบอกตวง (cylinder)","ความถ่วงจำเพาะ (Specific gravity) *ถ้ามี","-","",""
"51","MF2211003","12","SOB001","7","","0","7","0","(น้ำหนักที่ได้ / น้ำหนักตามทฤษฏี) x 100","%yield","-","",""
"56","MF2211004","1","SOB001","1","","1","1","0","สังเกตด้วยตา (Visual)","ลักษณะภายนอก (Appearances)","เนื้อครีม","","2022-11-18 08:02:20"
"57","MF2211004","2","SOB001","1","1","1","1","0","สังเกตด้วยตา (Visual)","- สถานะ(State)","ของแข็ง","","2022-11-18 08:02:24"
"58","MF2211004","3","SOB001","2","1","1","1","0","สังเกตด้วยตา (Visual)","- ความใส(Clarity)","ทึบแสง","","2022-11-18 08:02:27"
"59","MF2211004","4","SOB001","3","1","1","1","0","สังเกตด้วยตา (Visual)","- สี(Color)","ไม่มีสี","",""
"60","MF2211004","5","SOB001","4","1","1","1","0","สังเกตด้วยตา (Visual)","- ความเป็นเนื้อเดียวกัน(Homogeneity)","เป็นเนื้อเดียวกัน","","2022-11-18 08:02:29"
"61","MF2211004","6","SOB001","2","","1","2","0","ดมกลิ่น  (Smell)","กลิ่น (Odor)","ไม่มีกลิ่น","",""
"62","MF2211004","7","SOB001","3","","1","3","0","สัมผัสด้วยมือ (Touch)","เนื้อสัมผัส (Texture)","สัมผัสลื่น","",""
"63","MF2211004","8","SOB001","4","","1","4","0","กระดาษยูนิเวอร์ซัลอินดิเคเตอร์ (Universal indicator)","ความเป็นกรด-เบส (pH)","5","",""
"64","MF2211004","9","SOB001","5","","1","5","0","Laboratory Viscometers","ความหนืด (Viscosity) *ถ้ามี","-","",""
"65","MF2211004","10","SOB001","6","","0","6","0","กระบอกตวง (cylinder)","ความถ่วงจำเพาะ (Specific gravity) *ถ้ามี","-","",""
"66","MF2211004","12","SOB001","7","","0","7","0","(น้ำหนักที่ได้ / น้ำหนักตามทฤษฏี) x 100","%yield","-","",""
"71","MF2211005","1","SOB001","1","","1","1","0","สังเกตด้วยตา (Visual)","ลักษณะภายนอก (Appearances)","เนื้อครีม","","2022-11-25 08:02:21"
"72","MF2211005","2","SOB001","1","1","1","1","0","สังเกตด้วยตา (Visual)","- สถานะ(State)","กึ่งเเข็งกึ่งเหลว","","2022-11-25 08:02:36"
"73","MF2211005","3","SOB001","2","1","1","1","0","สังเกตด้วยตา (Visual)","- ความใส(Clarity)","ทึบแสง","","2022-11-25 08:02:42"
"74","MF2211005","4","SOB001","3","1","1","1","0","สังเกตด้วยตา (Visual)","- สี(Color)","ขาว","","2022-11-25 08:02:54"
"75","MF2211005","5","SOB001","4","1","1","1","0","สังเกตด้วยตา (Visual)","- ความเป็นเนื้อเดียวกัน(Homogeneity)","เป็นเนื้อเดียวกัน","","2022-11-25 08:02:58"
"76","MF2211005","6","SOB001","2","","1","2","0","ดมกลิ่น  (Smell)","กลิ่น (Odor)","Charming CA 7156","","2022-11-25 08:03:37"
