"id","formula_masters_id","topic_number","topic_txt","users_id","created_at","updated_at"
"1","FM2208001","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","","2022-11-02 03:32:00","2022-11-02 03:32:00"
"2","FM2208001","6","แผ่นมาส์ก, ซอง","","2022-11-02 03:32:00","2022-11-02 03:32:00"
"3","FM2208001","9","บรรจุปริมาณ 25.00 กรัม ลงในซองพร้อมกับแผ่นมาส์ก","","2022-11-02 03:32:00","2022-11-02 03:32:00"
"4","FM2208001","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","","2022-11-02 03:32:00","2022-11-02 03:32:00"
"5","FM2208001","12","-","","2022-11-02 03:32:00","2022-11-02 03:32:00"
"6","MF2211002","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-11-18 07:32:33","2022-11-18 07:32:33"
"7","MF2211002","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-11-18 07:34:45","2022-11-18 07:34:45"
"8","MF2211004","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-11-18 08:02:41","2022-11-18 08:02:41"
"9","MF2211004","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-11-18 08:03:35","2022-11-18 08:03:35"
"10","MF2211005","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-11-25 08:05:08","2022-11-25 08:05:08"
"11","MF2211005","6","กระปุกพร้อมสกรีน (สีขาวขุ่น)","1","2022-11-25 08:05:18","2022-11-25 08:05:18"
