"id","fda_number","th_name","en_name","type","file_json","companies_id","fml_code","fml_name","genus","specie","part_used","solven","solven_group","note","cas_no","ins_no","part_use","record_status","created_at","updated_at"
"1","AP-0000001","ผงกระเจี๊ยบแดง","ROSELLE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","กลีบเลี้ยง SEPEL","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"2","AP-0000002","ผงกระเจี๊ยบแดง","ROSELLE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ดอก FLOWER","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"3","AP-0000003","ผงกระชาย","FINGER ROOT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"4","AP-0000004","ผงกระชาย","FINGER ROOT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"5","AP-0000005","ผงกระชาย","FINGER ROOT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"6","AP-0000006","ผงกระชายดำ","BLACK GALINGALE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"7","AP-0000007","ผงกระชายดำ","BLACK GALINGALE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"8","AP-0000008","ผงกระเทียม","GARLIC POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","หัว BULB","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"9","AP-0000009","ผงกระเทียม/ผงกระเทียมโทน","GARLIC POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อกระเทียม PULP","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"10","AP-0000010","ผงกระบองเพชร","PRICKLY PEAR CACTUS POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"11","AP-0000011","ผงกระบองเพชร","PRICKLY PEAR CACTUS POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"12","AP-0000012","ผงกระบองเพชร","PRICKLY PEAR CACTUS POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"13","AP-0000013","ผงกล้วยน้ำว้า","BANANA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผลสุก FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"14","AP-0000015","ผงกะเพรา","SACRED BASIL POWDER / HOLY BASIL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"15","AP-0000017","ผงกะเพรา","SACRED BASIL POWDER / HOLY BASIL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ดอก FLOWER","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"16","AP-0000018","ผงกะเพรา","SACRED BASIL POWDER / HOLY BASIL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ทุกส่วน WHOLE PLANT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"17","AP-0000019","ผงกะเพรา","SACRED BASIL POWDER / HOLY BASIL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ทุกส่วน WHOLE PLANT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"18","AP-0000020","ผงกะหล่ำปลี","CABBAGE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","หัว HEAD","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"19","AP-0000021","ผงกะหล่ำปลี","CABBAGE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"20","AP-0000022","ผงกะหล่ำปลี","CABBAGE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ดอก FLOWER","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"21","AP-0000023","ผงกำเช่า","-","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"22","AP-0000024","ผงกำเช่า","-","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
