"id","quantity_ordered","unit_1","weight_per_unit","unit_2","theoretical_calc","unit_3","trial_batch","unit_4","total_calc","unit_5","calculate_loss","percent_loss","unit_6","plus_loss","unit_7","unit_8","rd_formulas_id","department","subject","plan_order","phone_number","lot","confirm_formula","confirm_formula_date","confirm_formula_inhouse","note","user_create","record_status","created_at","updated_at"
"3","10000.0000","ชิ้น","30.0000","g","300.0000","kg","0.0000","kg","300.0000","kg","6.0000","2.0000","kg","306.0000","kg","kg","RDF2212102","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Pharmular ACNE CLEAR SERUM","1020","0955624767","13","5","นานแล้ว มาไม่ทันค่ะ","","อ้างอิงจากการผลิต Lot ก่อน","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-10-29 11:08:59","2025-04-09 01:43:31"
"4","1000.0000","ชิ้น","2.0000","กรัม","2.0000","กิโลกรัม","","-","2.0000","กิโลกรัม","0.0700","3.5000","กิโลกรัม","2.0700","กิโลกรัม","kg","RDF2410049","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์  Savannah  GreenShield UV Guard Sunscreen SPF50+ PA++++ (IVORY)","1162","096-6254984","2","2 (RDF2406015_2)","2/9/2024","2.1 (RDF2410044_2.1)","อ้างอิงจากการผลิต\nLa glace Cloudy Bare Skin Tint เนื่องจาก เป็น Cool Process","ธนพร ปานสาคร / R&D","1","2024-10-30 09:30:56","2025-09-11 10:55:52"
"5","100.0000","ชิ้น","100.0000","กรัม","10.0000","กิโลกรัม","0.0000","กิโลกรัม","10.0000","กิโลกรัม","0.3000","3.0000","กิโลกรัม","10.3000","กิโลกรัม","kg","RDF2403036","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","NOOMA ANTI-AGING SOOTHING CLEANSER","699","0660977899","1","4.4","28/4/2024","-","-","","1","2024-10-30 09:46:46","2024-10-30 09:46:46"
"6","30000.0000","ชิ้น","99.0000","กรัม","2970.0000","กิโลกรัม","0.0000","กิโลกรัม","2970.0000","กิโลกรัม","89.1000","3.0000","กิโลกรัม","3059.1000","กิโลกรัม","kg","RDF2401171","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Pharmular Acne​ Cycle Clear​ Cleansing​ Gel","963","0660977899","15","3","20/3/2021","-","Den 0.99 RDF2401171_3","ชรินทร์ทิพย์ / R&D","1","2024-10-30 10:04:52","2025-02-21 09:07:38"
"7","10000.0000","ชิ้น","200.0000","g","2000.0000","Kg","0.0000","Kg","2000.0000","Kg","60.0000","3.0000","Kg","2060.0000","Kg","kg","RDF2409065","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","PHARMULAR ACNE CLEAR BODY WASH","837","0955624767","2","CFสูตร12 (MFG18/9/24)","CF Date:23/9/24","-","อ้างอิงจากการผลิต Perfect Organic Ultra mild  shower gel","Thidapon Kliangrot / R&D","1","2024-10-31 02:26:11","2025-08-04 07:33:55"
"8","2.0000","ชิ้น","500.0000","กรัม","1.0000","กิโลกรัม","0.0000","","1.0000","กิโลกรัม","0.0150","1.5000","กิโลกรัม","1.0150","กิโลกรัม","kg","RDF2409083","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ Whitening Body Lotion 100 ml.  ** Tester","840","0946766466","Tester","2","","","อ้างอิง %Loss จาก Seoul organic cream เนื่องจากเนื้อผลิตภัณฑ์และ Cold Process คล้ายกัน","","1","2024-10-31 04:46:10","2024-10-31 04:50:01"
"10","3000.0000","ชิ้น","30.0000","g","90.0000","Kg","9.0000","Kg","99.0000","Kg","3.4650","3.5000","Kg","102.4650","Kg","kg","RDF2409101","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","GLOWGURU BARRIER SHIELD SUPERLIGHT SUN FLUID SPF50+ PA++++","804","0955624767","1","สูตร 3.3 (MFG01/08/2024)","CF Date:06/08/24","3.3B  ผลตรวจ 123.79 PPD 16.90","อ้างอิงจากการผลิต Qaryn perfect shield hybrid sunscreen เนื่องจากสูตรมีความใกล้เคียงกัน","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-11-01 08:17:22","2024-11-01 08:17:22"
"11","1037.0000","ชิ้น","30.0000","กรัม","31.1100","กิโลกรัม","0.0000","กิโลกรัม","31.1100","กิโลกรัม","1.5560","5.0000","กิโลกรัม","32.6660","กิโลกรัม","kg","RDF2402143","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Mersi Intensive Brightening Lifting Serum  30 ml   ทำเนื้อเพิ่ม","1060","0660977899","4","7","21/2/2024","-","RDF2402143_7 Den 1.0  ทอง 1 แผ่นต่อเนื้อ 120 กรัม","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-11-01 10:48:18","2025-09-09 02:03:30"
"12","500.0000","ชิ้น","42.5000","กรัม","21.2500","กิโลกรัม","0.0000","กิโลกรัม","21.2500","กิโลกรัม","0.4250","2.0000","กิโลกรัม","21.6750","กิโลกรัม","kg","RDF2304050","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Dr.Jel Alcohol Spray 50 ml","1111","0660977899","11","standard","-","-","RDF2304050_1  Den 0.85","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-11-05 02:23:48","2025-07-29 08:29:35"
"13","0.0000","","0.0000","","0.0000","","0.0000","","0.0000","","0.0000","0.0000","","0.0000","","kg","RDF2411031","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","","","","","","","","","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-11-08 03:27:31","2024-11-08 03:27:31"
