"id","rm_lines_id","inci_type","file_json","price","percent","inci_lines_id","created_at","updated_at"
"1","3580","","breakdown-extract","","","","2025-08-10 15:36:37","2025-08-10 15:36:49"
"3","3582","1","add-inhous","","1.00","11398","2025-08-10 15:39:20","2025-08-10 15:39:40"
"4","3582","1","add-inhous","","1.00","11399","2025-08-10 15:39:21","2025-08-10 15:39:41"
"8","3596","1","add-inhous","","","11401","2025-08-14 07:20:38","2025-08-14 07:20:52"
"9","3595","1","add-inhous","","","11402","2025-08-14 07:21:10","2025-08-14 07:21:16"
"10","3600","","add-inhous","","","11403","2025-08-14 09:11:47","2025-08-14 09:11:47"
"12","3623","1","breakdown-component","","5.00","25","2025-08-20 04:12:06","2025-08-20 04:16:41"
"13","3623","2","breakdown-component","","3.00","86","2025-08-20 04:12:06","2025-08-20 04:16:39"
"14","3623","2","add-inhous","","1.00","11405","2025-08-20 04:16:14","2025-08-20 04:16:37"
"15","3624","","breakdown-component","","13.00","8","2025-08-20 04:34:59","2025-08-20 04:34:59"
"16","3624","","breakdown-extract","","3.00","11160","2025-08-20 04:34:59","2025-08-20 04:34:59"
"17","3624","","add-inhous","","1.00","11406","2025-08-21 07:28:55","2025-08-21 07:30:51"
"18","3624","","add-inhous","","1.00","11406","2025-08-21 07:30:00","2025-08-21 07:30:44"
"19","3624","","breakdown-component","","1.00","147","2025-08-21 07:37:44","2025-08-21 07:37:56"
"20","3624","","breakdown-component","","2.00","86","2025-08-21 07:37:45","2025-08-21 07:37:58"
